[21, 33, 52, 23, 24, 42, 3, 53, 27, 46, 47, 0, 47, 50, 3, 27, 23, 7, 19, 4, 22, 8, 7, 44, 30, 39, 48, 33, 52, 39, 38, 4, 20, 44, 27, 19, 42, 14, 36, 16, 53, 40, 51, 44, 13, 55, 48, 5, 30, 24, 29, 55, 35, 55, 49, 38, 53, 31, 48, 27, 49, 33, 35, 25, 50, 55, 41, 29, 51, 50, 54, 44, 53, 31, 55, 9, 32, 55, 52, 45, 37, 39, 36, 53, 41, 47, 52, 54, 16, 32, 26, 48, 52, 35, 16, 45, 30, 45, 49, 40, 30, 31, 54, 55, 53, 20, 54, 55, 33, 23, 9, 35, 4, 21, 27, 4, 39, 4, 2, 22, 5, 17, 29, 5, 36, 18, 5, 19, 8, 5, 33, 6, 9, 21, 21, 16, 0, 23, 1, 19, 3, 1, 16, 23, 1, 11, 10, 11, 18, 37, 3, 6, 14, 1, 6, 5, 25, 16, 11, 5, 9, 5, 10, 29, 33, 18, 26, 2, 6, 30, 34, 30, 17, 11, 17, 54, 6, 54, 23, 41, 45, 54, 22, 49, 50, 46, 28, 32, 10, 41, 49, 30, 32, 14, 14, 6, 0, 50, 46, 11, 13, 24, 6, 33, 5, 21, 14, 50, 19, 44, 36, 52, 1, 43, 47, 34, 28, 13, 51, 1, 55, 17, 40, 32, 22, 54, 6, 15, 22, 11, 5, 48, 6, 45, 2, 34, 28, 3, 6, 51, 22, 6, 7, 21, 43, 45, 10, 32, 2, 6, 34, 5, 7, 2, 7, 19, 20, 34, 32, 5, 27, 0, 7, 28, 21, 19, 5, 5, 7, 7, 34, 28, 21, 46, 6, 1, 18, 12, 21, 5, 2, 35, 33, 40, 48, 11, 26, 9, 49, 2, 9, 29, 26, 42, 15, 20, 51, 20, 28, 28, 20, 28, 15, 50, 17, 13, 12, 43, 49, 34, 0, 51, 51, 47, 3, 2, 29, 22, 24, 0, 52, 31, 31, 31, 7, 15, 37, 20, 52, 26, 13, 10, 17, 15, 25, 35, 8, 2, 15, 31, 30, 20, 13, 16, 34, 22, 35, 30, 16, 37, 7, 37, 5, 26, 31, 33, 5, 27, 35, 0, 35, 7, 4, 15, 0, 0, 0, 14, 24, 10, 1, 6, 7, 16, 7, 4, 4, 16, 9, 3, 4, 3, 1, 40, 1, 4, 2, 7, 3, 20, 23, 12, 7, 6, 7, 31, 4, 12, 3, 32, 37, 5, 12, 10, 45, 4, 4, 4, 8, 4, 22, 6, 17, 37, 17, 26, 27, 23, 6, 4, 38, 36, 8, 14, 8, 25, 24, 7, 43, 20, 34, 12, 7, 17, 4, 18, 18, 41, 23, 17, 18, 4, 36, 12, 38, 6, 24, 29, 36, 53, 19, 8, 48, 21, 18, 32, 18, 26, 54, 36, 19, 44, 13, 42, 53, 55, 46, 25, 29, 25, 20, 37, 44, 54, 25, 21]
4150
Iteration 1/100, Best C_max: 4847, Current Iteration Best: 4847, counter: 1, critical: True
Iteration 2/100, Best C_max: 4847, Current Iteration Best: 5307, counter: 2, critical: True
Iteration 3/100, Best C_max: 4794, Current Iteration Best: 4794, counter: 1, critical: True
Iteration 4/100, Best C_max: 4794, Current Iteration Best: 5347, counter: 2, critical: True
Iteration 5/100, Best C_max: 4669, Current Iteration Best: 4669, counter: 1, critical: True
Iteration 6/100, Best C_max: 4669, Current Iteration Best: 5279, counter: 2, critical: True
Iteration 7/100, Best C_max: 4669, Current Iteration Best: 4726, counter: 3, critical: True
Iteration 8/100, Best C_max: 4669, Current Iteration Best: 5328, counter: 4, critical: True
Iteration 9/100, Best C_max: 4669, Current Iteration Best: 4821, counter: 5, critical: True
Iteration 10/100, Best C_max: 4669, Current Iteration Best: 5299, counter: 6, critical: True
Iteration 11/100, Best C_max: 4669, Current Iteration Best: 4725, counter: 7, critical: True
Iteration 12/100, Best C_max: 4669, Current Iteration Best: 5350, counter: 8, critical: True
Iteration 13/100, Best C_max: 4669, Current Iteration Best: 4858, counter: 9, critical: True
Iteration 14/100, Best C_max: 4669, Current Iteration Best: 5333, counter: 10, critical: True
Iteration 15/100, Best C_max: 4669, Current Iteration Best: 4823, counter: 1, critical: False
Iteration 16/100, Best C_max: 4463, Current Iteration Best: 4463, counter: 1, critical: False
Iteration 17/100, Best C_max: 4463, Current Iteration Best: 4567, counter: 2, critical: False
Iteration 18/100, Best C_max: 4427, Current Iteration Best: 4427, counter: 1, critical: False
Iteration 19/100, Best C_max: 4353, Current Iteration Best: 4353, counter: 1, critical: False
Iteration 20/100, Best C_max: 4353, Current Iteration Best: 4503, counter: 2, critical: False
Iteration 21/100, Best C_max: 4353, Current Iteration Best: 4472, counter: 3, critical: False
Iteration 22/100, Best C_max: 4353, Current Iteration Best: 4569, counter: 4, critical: False
Iteration 23/100, Best C_max: 4353, Current Iteration Best: 4595, counter: 5, critical: False
Iteration 24/100, Best C_max: 4353, Current Iteration Best: 4488, counter: 6, critical: False
Iteration 25/100, Best C_max: 4353, Current Iteration Best: 4496, counter: 7, critical: False
Iteration 26/100, Best C_max: 4353, Current Iteration Best: 4503, counter: 8, critical: False
Iteration 27/100, Best C_max: 4353, Current Iteration Best: 4406, counter: 9, critical: False
Iteration 28/100, Best C_max: 4353, Current Iteration Best: 4459, counter: 10, critical: False
Iteration 29/100, Best C_max: 4353, Current Iteration Best: 4501, counter: 1, critical: True
Iteration 30/100, Best C_max: 4353, Current Iteration Best: 4963, counter: 2, critical: True
Iteration 31/100, Best C_max: 4353, Current Iteration Best: 4516, counter: 3, critical: True
Iteration 32/100, Best C_max: 4353, Current Iteration Best: 4936, counter: 4, critical: True
Iteration 33/100, Best C_max: 4353, Current Iteration Best: 4489, counter: 5, critical: True
Iteration 34/100, Best C_max: 4353, Current Iteration Best: 4901, counter: 6, critical: True
Iteration 35/100, Best C_max: 4353, Current Iteration Best: 4402, counter: 7, critical: True
