[22, 20, 38, 42, 26, 44, 14, 46, 3, 32, 23, 34, 4, 15, 7, 8, 49, 48, 33, 45, 41, 36, 10, 25, 9, 24, 46, 28, 21, 28, 18, 43, 16, 1, 35, 10, 27, 3, 30, 12, 2, 40, 31, 5, 37, 39, 38, 0, 17, 19, 13, 37, 29, 7, 34, 8, 39, 12, 4, 19, 27, 28, 21, 48, 45, 20, 25, 10, 23, 18, 11, 30, 6, 33, 2, 17, 20, 36, 43, 46, 22, 41, 44, 1, 25, 3, 9, 14, 16, 5, 0, 24, 42, 49, 32, 38, 22, 15, 34, 31, 2, 7, 40, 5, 46, 48, 28, 36, 29, 21, 24, 8, 27, 18, 11, 3, 4, 23, 15, 22, 35, 25, 43, 29, 33, 12, 9, 19, 42, 38, 37, 14, 31, 34, 1, 44, 30, 16, 20, 10, 6, 0, 32, 49, 13, 45, 41, 36, 17, 47, 42, 18, 32, 5, 27, 23, 19, 3, 40, 4, 14, 25, 35, 46, 12, 49, 43, 1, 21, 39, 10, 20, 45, 37, 26, 24, 28, 47, 8, 39, 44, 32, 7, 15, 12, 15, 29, 2, 6, 0, 30, 33, 38, 34, 31, 9, 11, 48, 17, 16, 13, 21, 4, 49, 31, 12, 36, 27, 22, 2, 39, 26, 37, 1, 8, 19, 41, 20, 43, 47, 48, 5, 4, 44, 34, 23, 5, 10, 47, 42, 16, 29, 30, 22, 24, 38, 7, 9, 17, 6, 40, 45, 25, 11, 3, 18, 28, 0, 33, 35, 46, 41, 10, 1, 38, 11, 47, 15, 28, 45, 2, 31, 27, 13, 17, 37, 39, 36, 22, 34, 14, 19, 3, 42, 0, 23, 8, 6, 18, 12, 30, 49, 15, 7, 25, 32, 35, 29, 16, 30, 38, 4, 40, 26, 44, 24, 9, 33, 43, 48, 45, 3, 18, 42, 4, 16, 49, 15, 26, 13, 19, 40, 34, 22, 9, 48, 7, 21, 10, 24, 46, 14, 36, 12, 23, 8, 32, 43, 2, 17, 4, 35, 33, 25, 2, 40, 31, 19, 28, 39, 11, 44, 1, 41, 5, 0, 27, 6, 47, 37, 12, 23, 42, 7, 8, 49, 31, 24, 13, 38, 26, 41, 6, 32, 20, 1, 10, 0, 16, 25, 19, 17, 33, 11, 22, 5, 39, 19, 45, 40, 35, 47, 43, 27, 37, 18, 34, 9, 4, 46, 48, 44, 21, 29, 28, 14, 15, 2, 3, 30, 18, 47, 15, 33, 48, 28, 45, 47, 49, 6, 4, 19, 32, 9, 12, 29, 42, 31, 1, 27, 26, 3, 34, 25, 43, 36, 30, 46, 5, 11, 23, 37, 44, 40, 21, 17, 16, 8, 35, 13, 39, 2, 10, 0, 24, 20, 7, 32, 41, 38, 14, 18, 36, 35, 28, 25, 26, 35, 49, 46, 42, 6, 1, 45, 23, 33, 0, 15, 13, 22, 16, 24, 26, 37, 20, 43, 44, 9, 38, 29, 36, 21, 47, 27, 24, 5, 7, 39, 10, 3, 8, 12, 30, 14, 41, 20, 17, 6, 11, 48, 14, 16, 20, 38, 34, 13, 29, 3, 12, 49, 26, 21, 10, 41, 7, 6, 21, 45, 43, 9, 30, 14, 32, 42, 48, 33, 47, 23, 11, 27, 46, 19, 1, 5, 25, 15, 24, 8, 2, 37, 40, 18, 17, 28, 0, 36, 44, 35, 22, 31, 41, 29, 36, 33, 7, 26, 8, 21, 45, 31, 14, 30, 22, 5, 27, 49, 47, 39, 23, 46, 31, 20, 13, 10, 35, 48, 32, 0, 6, 13, 37, 40, 42, 3, 9, 17, 11, 19, 28, 18, 16, 2, 44, 34, 25, 4, 15, 12, 43, 1, 35, 48, 4, 1, 8, 45, 13, 37, 44, 3, 23, 26, 38, 27, 32, 46, 16, 40, 30, 29, 17, 40, 18, 7, 28, 36, 43, 34, 24, 10, 41, 9, 11, 41, 49, 21, 40, 2, 26, 31, 0, 47, 33, 42, 14, 12, 39, 5, 19, 22, 32, 11, 6, 21, 30, 49, 23, 19, 31, 29, 2, 12, 18, 25, 24, 43, 40, 16, 15, 41, 17, 5, 13, 8, 9, 35, 22, 36, 0, 34, 46, 47, 37, 14, 27, 39, 26, 20, 7, 29, 10, 33, 48, 45, 42, 1, 38, 6, 4, 44, 30, 38, 48, 20, 49, 44, 23, 20, 0, 31, 47, 39, 46, 2, 36, 26, 34, 32, 43, 41, 1, 29, 4, 14, 15, 24, 13, 3, 5, 18, 21, 28, 11, 16, 37, 17, 35, 22, 39, 9, 27, 7, 33, 42, 11, 13, 6, 8, 25, 45]
3586
Iteration 1/333, Best C_max: 3602, Current Iteration Best: 4125, counter: 2, critical: True
Iteration 2/333, Best C_max: 3602, Current Iteration Best: 3842, counter: 3, critical: True
Iteration 3/333, Best C_max: 3602, Current Iteration Best: 4290, counter: 4, critical: True
Iteration 4/333, Best C_max: 3602, Current Iteration Best: 3697, counter: 5, critical: True
Iteration 5/333, Best C_max: 3602, Current Iteration Best: 4099, counter: 6, critical: True
Iteration 6/333, Best C_max: 3602, Current Iteration Best: 3653, counter: 7, critical: True
Iteration 7/333, Best C_max: 3602, Current Iteration Best: 4049, counter: 8, critical: True
Iteration 8/333, Best C_max: 3602, Current Iteration Best: 3682, counter: 9, critical: True
Iteration 9/333, Best C_max: 3602, Current Iteration Best: 4343, counter: 10, critical: True
Iteration 10/333, Best C_max: 3602, Current Iteration Best: 3697, counter: 1, critical: False
Iteration 11/333, Best C_max: 3602, Current Iteration Best: 4935, counter: 2, critical: False
Iteration 12/333, Best C_max: 3602, Current Iteration Best: 5096, counter: 3, critical: False
Iteration 13/333, Best C_max: 3602, Current Iteration Best: 4901, counter: 4, critical: False
Iteration 14/333, Best C_max: 3602, Current Iteration Best: 4861, counter: 5, critical: False
Iteration 15/333, Best C_max: 3602, Current Iteration Best: 4677, counter: 6, critical: False
Iteration 16/333, Best C_max: 3602, Current Iteration Best: 4937, counter: 7, critical: False
Iteration 17/333, Best C_max: 3602, Current Iteration Best: 4657, counter: 8, critical: False
Iteration 18/333, Best C_max: 3602, Current Iteration Best: 4458, counter: 9, critical: False
Iteration 19/333, Best C_max: 3602, Current Iteration Best: 4683, counter: 10, critical: False
Iteration 20/333, Best C_max: 3602, Current Iteration Best: 3926, counter: 1, critical: True
Iteration 21/333, Best C_max: 3602, Current Iteration Best: 4596, counter: 2, critical: True
Iteration 22/333, Best C_max: 3602, Current Iteration Best: 4113, counter: 3, critical: True
Iteration 23/333, Best C_max: 3602, Current Iteration Best: 4633, counter: 4, critical: True
Iteration 24/333, Best C_max: 3602, Current Iteration Best: 4145, counter: 5, critical: True
Iteration 25/333, Best C_max: 3602, Current Iteration Best: 4735, counter: 6, critical: True
Iteration 26/333, Best C_max: 3602, Current Iteration Best: 4144, counter: 7, critical: True
Iteration 27/333, Best C_max: 3602, Current Iteration Best: 4716, counter: 8, critical: True
Iteration 28/333, Best C_max: 3602, Current Iteration Best: 4102, counter: 9, critical: True
Iteration 29/333, Best C_max: 3602, Current Iteration Best: 4583, counter: 10, critical: True
Iteration 30/333, Best C_max: 3602, Current Iteration Best: 3988, counter: 1, critical: False
Iteration 31/333, Best C_max: 3602, Current Iteration Best: 5145, counter: 2, critical: False
Iteration 32/333, Best C_max: 3602, Current Iteration Best: 4994, counter: 3, critical: False
Iteration 33/333, Best C_max: 3602, Current Iteration Best: 4835, counter: 4, critical: False
Iteration 34/333, Best C_max: 3602, Current Iteration Best: 4751, counter: 5, critical: False
Iteration 35/333, Best C_max: 3602, Current Iteration Best: 4715, counter: 6, critical: False
Iteration 36/333, Best C_max: 3602, Current Iteration Best: 3828, counter: 7, critical: False
Iteration 37/333, Best C_max: 3602, Current Iteration Best: 4084, counter: 8, critical: False
Iteration 38/333, Best C_max: 3602, Current Iteration Best: 4278, counter: 9, critical: False
Iteration 39/333, Best C_max: 3602, Current Iteration Best: 3990, counter: 10, critical: False
Iteration 40/333, Best C_max: 3602, Current Iteration Best: 4313, counter: 1, critical: True
Iteration 41/333, Best C_max: 3602, Current Iteration Best: 4457, counter: 2, critical: True
Iteration 42/333, Best C_max: 3602, Current Iteration Best: 4328, counter: 3, critical: True
Iteration 43/333, Best C_max: 3602, Current Iteration Best: 4614, counter: 4, critical: True
Iteration 44/333, Best C_max: 3602, Current Iteration Best: 4411, counter: 5, critical: True
Iteration 45/333, Best C_max: 3602, Current Iteration Best: 4503, counter: 6, critical: True
Iteration 46/333, Best C_max: 3602, Current Iteration Best: 4327, counter: 7, critical: True
Iteration 47/333, Best C_max: 3602, Current Iteration Best: 4450, counter: 8, critical: True
Iteration 48/333, Best C_max: 3602, Current Iteration Best: 4389, counter: 9, critical: True
Iteration 49/333, Best C_max: 3602, Current Iteration Best: 4326, counter: 10, critical: True
Iteration 50/333, Best C_max: 3602, Current Iteration Best: 4443, counter: 1, critical: False
Iteration 51/333, Best C_max: 3602, Current Iteration Best: 5149, counter: 2, critical: False
Iteration 52/333, Best C_max: 3602, Current Iteration Best: 4988, counter: 3, critical: False
Iteration 53/333, Best C_max: 3602, Current Iteration Best: 5213, counter: 4, critical: False
Iteration 54/333, Best C_max: 3602, Current Iteration Best: 5110, counter: 5, critical: False
Iteration 55/333, Best C_max: 3602, Current Iteration Best: 4674, counter: 6, critical: False
Iteration 56/333, Best C_max: 3602, Current Iteration Best: 4431, counter: 7, critical: False
Iteration 57/333, Best C_max: 3602, Current Iteration Best: 3942, counter: 8, critical: False
Iteration 58/333, Best C_max: 3602, Current Iteration Best: 4426, counter: 9, critical: False
Iteration 59/333, Best C_max: 3602, Current Iteration Best: 4035, counter: 10, critical: False
Iteration 60/333, Best C_max: 3602, Current Iteration Best: 4050, counter: 1, critical: True
Iteration 61/333, Best C_max: 3602, Current Iteration Best: 4480, counter: 2, critical: True
Iteration 62/333, Best C_max: 3602, Current Iteration Best: 4158, counter: 3, critical: True
Iteration 63/333, Best C_max: 3602, Current Iteration Best: 4442, counter: 4, critical: True
Iteration 64/333, Best C_max: 3602, Current Iteration Best: 4239, counter: 5, critical: True
Iteration 65/333, Best C_max: 3602, Current Iteration Best: 4695, counter: 6, critical: True
Iteration 66/333, Best C_max: 3602, Current Iteration Best: 4063, counter: 7, critical: True
Iteration 67/333, Best C_max: 3602, Current Iteration Best: 4633, counter: 8, critical: True
Iteration 68/333, Best C_max: 3602, Current Iteration Best: 4442, counter: 9, critical: True
Iteration 69/333, Best C_max: 3602, Current Iteration Best: 4569, counter: 10, critical: True
Iteration 70/333, Best C_max: 3602, Current Iteration Best: 4194, counter: 1, critical: False
Iteration 71/333, Best C_max: 3602, Current Iteration Best: 5173, counter: 2, critical: False
Iteration 72/333, Best C_max: 3602, Current Iteration Best: 4920, counter: 3, critical: False
Iteration 73/333, Best C_max: 3602, Current Iteration Best: 4984, counter: 4, critical: False
Iteration 74/333, Best C_max: 3602, Current Iteration Best: 5103, counter: 5, critical: False
Iteration 75/333, Best C_max: 3602, Current Iteration Best: 5002, counter: 6, critical: False
Iteration 76/333, Best C_max: 3602, Current Iteration Best: 4743, counter: 7, critical: False
Iteration 77/333, Best C_max: 3602, Current Iteration Best: 4786, counter: 8, critical: False
Iteration 78/333, Best C_max: 3602, Current Iteration Best: 4822, counter: 9, critical: False
Iteration 79/333, Best C_max: 3602, Current Iteration Best: 4782, counter: 10, critical: False
Iteration 80/333, Best C_max: 3602, Current Iteration Best: 4401, counter: 1, critical: True
Iteration 81/333, Best C_max: 3602, Current Iteration Best: 4846, counter: 2, critical: True
Iteration 82/333, Best C_max: 3602, Current Iteration Best: 4894, counter: 3, critical: True
Iteration 83/333, Best C_max: 3602, Current Iteration Best: 4723, counter: 4, critical: True
Iteration 84/333, Best C_max: 3602, Current Iteration Best: 4740, counter: 5, critical: True
Iteration 85/333, Best C_max: 3602, Current Iteration Best: 4769, counter: 6, critical: True
Iteration 86/333, Best C_max: 3602, Current Iteration Best: 4455, counter: 7, critical: True
Iteration 87/333, Best C_max: 3602, Current Iteration Best: 4821, counter: 8, critical: True
Iteration 88/333, Best C_max: 3602, Current Iteration Best: 4769, counter: 9, critical: True
Iteration 89/333, Best C_max: 3602, Current Iteration Best: 4634, counter: 10, critical: True
Iteration 90/333, Best C_max: 3602, Current Iteration Best: 4576, counter: 1, critical: False
Iteration 91/333, Best C_max: 3602, Current Iteration Best: 5185, counter: 2, critical: False
Iteration 92/333, Best C_max: 3602, Current Iteration Best: 5158, counter: 3, critical: False
Iteration 93/333, Best C_max: 3602, Current Iteration Best: 4896, counter: 4, critical: False
Iteration 94/333, Best C_max: 3602, Current Iteration Best: 4601, counter: 5, critical: False
Iteration 95/333, Best C_max: 3602, Current Iteration Best: 4889, counter: 6, critical: False
Iteration 96/333, Best C_max: 3602, Current Iteration Best: 4792, counter: 7, critical: False
Iteration 97/333, Best C_max: 3602, Current Iteration Best: 5037, counter: 8, critical: False
Iteration 98/333, Best C_max: 3602, Current Iteration Best: 4930, counter: 9, critical: False
Iteration 99/333, Best C_max: 3602, Current Iteration Best: 4705, counter: 10, critical: False
Iteration 100/333, Best C_max: 3602, Current Iteration Best: 4924, counter: 1, critical: True
Iteration 101/333, Best C_max: 3602, Current Iteration Best: 4777, counter: 2, critical: True
Iteration 102/333, Best C_max: 3602, Current Iteration Best: 5105, counter: 3, critical: True
Iteration 103/333, Best C_max: 3602, Current Iteration Best: 4717, counter: 4, critical: True
Iteration 104/333, Best C_max: 3602, Current Iteration Best: 4940, counter: 5, critical: True
Iteration 105/333, Best C_max: 3602, Current Iteration Best: 4704, counter: 6, critical: True
Iteration 106/333, Best C_max: 3602, Current Iteration Best: 5078, counter: 7, critical: True
Iteration 107/333, Best C_max: 3602, Current Iteration Best: 4639, counter: 8, critical: True
Iteration 108/333, Best C_max: 3602, Current Iteration Best: 4987, counter: 9, critical: True
Iteration 109/333, Best C_max: 3602, Current Iteration Best: 4691, counter: 10, critical: True
Iteration 110/333, Best C_max: 3602, Current Iteration Best: 5005, counter: 1, critical: False
Iteration 111/333, Best C_max: 3602, Current Iteration Best: 5246, counter: 2, critical: False
Iteration 112/333, Best C_max: 3602, Current Iteration Best: 4842, counter: 3, critical: False
Iteration 113/333, Best C_max: 3602, Current Iteration Best: 4977, counter: 4, critical: False
Iteration 114/333, Best C_max: 3602, Current Iteration Best: 4783, counter: 5, critical: False
Iteration 115/333, Best C_max: 3602, Current Iteration Best: 4716, counter: 6, critical: False
Iteration 116/333, Best C_max: 3602, Current Iteration Best: 4525, counter: 7, critical: False
Iteration 117/333, Best C_max: 3602, Current Iteration Best: 4808, counter: 8, critical: False
Iteration 118/333, Best C_max: 3602, Current Iteration Best: 4877, counter: 9, critical: False
Iteration 119/333, Best C_max: 3602, Current Iteration Best: 4659, counter: 10, critical: False
Iteration 120/333, Best C_max: 3602, Current Iteration Best: 3683, counter: 1, critical: True
Iteration 121/333, Best C_max: 3602, Current Iteration Best: 4537, counter: 2, critical: True
Iteration 122/333, Best C_max: 3602, Current Iteration Best: 3884, counter: 3, critical: True
Iteration 123/333, Best C_max: 3602, Current Iteration Best: 4598, counter: 4, critical: True
Iteration 124/333, Best C_max: 3602, Current Iteration Best: 3944, counter: 5, critical: True
Iteration 125/333, Best C_max: 3602, Current Iteration Best: 4690, counter: 6, critical: True
Iteration 126/333, Best C_max: 3602, Current Iteration Best: 3946, counter: 7, critical: True
Iteration 127/333, Best C_max: 3602, Current Iteration Best: 4674, counter: 8, critical: True
Iteration 128/333, Best C_max: 3602, Current Iteration Best: 3778, counter: 9, critical: True
Iteration 129/333, Best C_max: 3602, Current Iteration Best: 4572, counter: 10, critical: True
Iteration 130/333, Best C_max: 3602, Current Iteration Best: 3896, counter: 1, critical: False
Iteration 131/333, Best C_max: 3602, Current Iteration Best: 5005, counter: 2, critical: False
Iteration 132/333, Best C_max: 3602, Current Iteration Best: 5117, counter: 3, critical: False
Iteration 133/333, Best C_max: 3602, Current Iteration Best: 4839, counter: 4, critical: False
Iteration 134/333, Best C_max: 3602, Current Iteration Best: 4880, counter: 5, critical: False
Iteration 135/333, Best C_max: 3602, Current Iteration Best: 4857, counter: 6, critical: False
Iteration 136/333, Best C_max: 3602, Current Iteration Best: 4643, counter: 7, critical: False
Iteration 137/333, Best C_max: 3602, Current Iteration Best: 4711, counter: 8, critical: False
Iteration 138/333, Best C_max: 3602, Current Iteration Best: 4057, counter: 9, critical: False
Iteration 139/333, Best C_max: 3602, Current Iteration Best: 4083, counter: 10, critical: False
Iteration 140/333, Best C_max: 3602, Current Iteration Best: 4252, counter: 1, critical: True
Iteration 141/333, Best C_max: 3602, Current Iteration Best: 4859, counter: 2, critical: True
Iteration 142/333, Best C_max: 3602, Current Iteration Best: 4467, counter: 3, critical: True
Iteration 143/333, Best C_max: 3602, Current Iteration Best: 4645, counter: 4, critical: True
Iteration 144/333, Best C_max: 3602, Current Iteration Best: 4391, counter: 5, critical: True
Iteration 145/333, Best C_max: 3602, Current Iteration Best: 4680, counter: 6, critical: True
Iteration 146/333, Best C_max: 3602, Current Iteration Best: 4323, counter: 7, critical: True
Iteration 147/333, Best C_max: 3602, Current Iteration Best: 4800, counter: 8, critical: True
Iteration 148/333, Best C_max: 3602, Current Iteration Best: 4199, counter: 9, critical: True
Iteration 149/333, Best C_max: 3602, Current Iteration Best: 4893, counter: 10, critical: True
Iteration 150/333, Best C_max: 3602, Current Iteration Best: 4394, counter: 1, critical: False
Iteration 151/333, Best C_max: 3602, Current Iteration Best: 5213, counter: 2, critical: False
Iteration 152/333, Best C_max: 3602, Current Iteration Best: 5012, counter: 3, critical: False
Iteration 153/333, Best C_max: 3602, Current Iteration Best: 4969, counter: 4, critical: False
Iteration 154/333, Best C_max: 3602, Current Iteration Best: 4823, counter: 5, critical: False
Iteration 155/333, Best C_max: 3602, Current Iteration Best: 4628, counter: 6, critical: False
Iteration 156/333, Best C_max: 3602, Current Iteration Best: 4440, counter: 7, critical: False
Iteration 157/333, Best C_max: 3586, Current Iteration Best: 3586, counter: 1, critical: False
Iteration 158/333, Best C_max: 3586, Current Iteration Best: 4226, counter: 2, critical: False
Iteration 159/333, Best C_max: 3586, Current Iteration Best: 3960, counter: 3, critical: False
Iteration 160/333, Best C_max: 3586, Current Iteration Best: 4252, counter: 4, critical: False
Iteration 161/333, Best C_max: 3586, Current Iteration Best: 4198, counter: 5, critical: False
Iteration 162/333, Best C_max: 3586, Current Iteration Best: 4497, counter: 6, critical: False
Iteration 163/333, Best C_max: 3586, Current Iteration Best: 4403, counter: 7, critical: False
Iteration 164/333, Best C_max: 3586, Current Iteration Best: 4182, counter: 8, critical: False
Iteration 165/333, Best C_max: 3586, Current Iteration Best: 4522, counter: 9, critical: False
Iteration 166/333, Best C_max: 3586, Current Iteration Best: 3949, counter: 10, critical: False
Iteration 167/333, Best C_max: 3586, Current Iteration Best: 4611, counter: 1, critical: True
Iteration 168/333, Best C_max: 3586, Current Iteration Best: 4654, counter: 2, critical: True
Iteration 169/333, Best C_max: 3586, Current Iteration Best: 4365, counter: 3, critical: True
Iteration 170/333, Best C_max: 3586, Current Iteration Best: 4727, counter: 4, critical: True
Iteration 171/333, Best C_max: 3586, Current Iteration Best: 4566, counter: 5, critical: True
Iteration 172/333, Best C_max: 3586, Current Iteration Best: 4674, counter: 6, critical: True
Iteration 173/333, Best C_max: 3586, Current Iteration Best: 4447, counter: 7, critical: True
Iteration 174/333, Best C_max: 3586, Current Iteration Best: 4607, counter: 8, critical: True
Iteration 175/333, Best C_max: 3586, Current Iteration Best: 4364, counter: 9, critical: True
Iteration 176/333, Best C_max: 3586, Current Iteration Best: 4625, counter: 10, critical: True
Iteration 177/333, Best C_max: 3586, Current Iteration Best: 4377, counter: 1, critical: False
Iteration 178/333, Best C_max: 3586, Current Iteration Best: 5075, counter: 2, critical: False
Iteration 179/333, Best C_max: 3586, Current Iteration Best: 5054, counter: 3, critical: False
Iteration 180/333, Best C_max: 3586, Current Iteration Best: 4898, counter: 4, critical: False
Iteration 181/333, Best C_max: 3586, Current Iteration Best: 4284, counter: 5, critical: False
Iteration 182/333, Best C_max: 3586, Current Iteration Best: 3917, counter: 6, critical: False
Iteration 183/333, Best C_max: 3586, Current Iteration Best: 4665, counter: 7, critical: False
Iteration 184/333, Best C_max: 3586, Current Iteration Best: 4179, counter: 8, critical: False
Iteration 185/333, Best C_max: 3586, Current Iteration Best: 4337, counter: 9, critical: False
Iteration 186/333, Best C_max: 3586, Current Iteration Best: 4338, counter: 10, critical: False
Iteration 187/333, Best C_max: 3586, Current Iteration Best: 4179, counter: 1, critical: True
Iteration 188/333, Best C_max: 3586, Current Iteration Best: 4757, counter: 2, critical: True
Iteration 189/333, Best C_max: 3586, Current Iteration Best: 4164, counter: 3, critical: True
Iteration 190/333, Best C_max: 3586, Current Iteration Best: 4944, counter: 4, critical: True
Iteration 191/333, Best C_max: 3586, Current Iteration Best: 4612, counter: 5, critical: True
Iteration 192/333, Best C_max: 3586, Current Iteration Best: 4797, counter: 6, critical: True
Iteration 193/333, Best C_max: 3586, Current Iteration Best: 4485, counter: 7, critical: True
Iteration 194/333, Best C_max: 3586, Current Iteration Best: 4937, counter: 8, critical: True
