[19, 3, 28, 11, 9, 8, 9, 5, 13, 21, 25, 24, 2, 24, 21, 27, 6, 14, 14, 3, 16, 16, 26, 7, 17, 22, 11, 0, 15, 1, 2, 24, 4, 10, 0, 26, 29, 4, 14, 15, 20, 28, 15, 8, 5, 6, 22, 7, 10, 1, 20, 2, 28, 18, 25, 22, 12, 9, 12, 17, 18, 4, 7, 23, 11, 17, 9, 22, 2, 5, 28, 10, 3, 8, 20, 6, 29, 5, 4, 24, 21, 27, 13, 18, 25, 1, 26, 14, 12, 16, 6, 23, 8, 11, 22, 20, 13, 10, 3, 18, 27, 1, 25, 15, 5, 19, 21, 0, 24, 2, 29, 20, 26, 7, 17, 14, 12, 28, 9, 24, 26, 14, 2, 21, 10, 8, 14, 27, 4, 20, 6, 23, 13, 11, 19, 18, 12, 24, 16, 29, 15, 0, 4, 25, 22, 20, 28, 26, 3, 15, 17, 13, 16, 11, 20, 12, 14, 23, 6, 7, 4, 8, 22, 28, 24, 1, 19, 16, 5, 29, 25, 1, 3, 0, 10, 18, 21, 9, 2, 27, 6, 0, 15, 21, 5, 19, 17, 28, 26, 13, 8, 22, 10, 20, 9, 19, 14, 2, 3, 27, 29, 7, 1, 11, 23, 25, 16, 24, 12, 4, 11, 9, 10, 15, 1, 1, 0, 29, 21, 6, 8, 25, 13, 12, 24, 5, 27, 4, 19, 26, 23, 7, 28, 17, 23, 18, 20, 3, 17, 16, 21, 4, 20, 28, 18, 27, 16, 23, 0, 12, 10, 1, 14, 7, 7, 6, 11, 22, 9, 19, 18, 21, 13, 25, 5, 0, 3, 29, 2, 28, 13, 12, 19, 20, 1, 10, 6, 22, 3, 8, 4, 28, 16, 23, 17, 25, 27, 24, 9, 14, 11, 5, 2, 15, 0, 29, 18, 26, 7, 23, 3, 28, 23, 11, 6, 7, 27, 5, 18, 10, 25, 15, 12, 4, 1, 14, 21, 24, 2, 9, 17, 8, 22, 19, 0, 20, 29, 26, 13, 16, 2, 19, 0, 13, 19, 8, 7, 27, 14, 18, 1, 9, 6, 24, 10, 26, 3, 25, 5, 4, 15, 17, 13, 20, 16, 29, 12, 21, 28, 22, 15, 10, 21, 6, 22, 27, 9, 12, 29, 23, 15, 0, 16, 25, 26, 20, 19, 13, 11, 18, 26, 1, 27, 2, 17, 3, 8, 8, 5, 4, 27, 29, 16, 26, 3, 6, 4, 23, 8, 7, 14, 24, 17, 13, 5, 11, 28, 12, 21, 7, 10, 1, 18, 0, 19, 9, 22, 15, 25, 15, 9, 0, 19, 26, 6, 25, 29, 11, 3, 12, 7, 27, 2, 23, 2, 16, 10, 18, 5, 14, 13, 17, 8, 17, 11, 21, 24, 22, 23, 29]
2381
Iteration 1/10000, Best C_max: 2584, Current Iteration Best: 2734, counter: 2, critical: True
Iteration 2/10000, Best C_max: 2536, Current Iteration Best: 2536, counter: 1, critical: True
Iteration 3/10000, Best C_max: 2536, Current Iteration Best: 2766, counter: 2, critical: True
Iteration 4/10000, Best C_max: 2532, Current Iteration Best: 2532, counter: 1, critical: True
Iteration 5/10000, Best C_max: 2532, Current Iteration Best: 2749, counter: 2, critical: True
Iteration 6/10000, Best C_max: 2519, Current Iteration Best: 2519, counter: 1, critical: True
Iteration 7/10000, Best C_max: 2519, Current Iteration Best: 2686, counter: 2, critical: True
Iteration 8/10000, Best C_max: 2519, Current Iteration Best: 2587, counter: 3, critical: True
Iteration 9/10000, Best C_max: 2519, Current Iteration Best: 2748, counter: 4, critical: True
Iteration 10/10000, Best C_max: 2482, Current Iteration Best: 2482, counter: 1, critical: True
Iteration 11/10000, Best C_max: 2482, Current Iteration Best: 2715, counter: 2, critical: True
Iteration 12/10000, Best C_max: 2482, Current Iteration Best: 2561, counter: 3, critical: True
Iteration 13/10000, Best C_max: 2482, Current Iteration Best: 2739, counter: 4, critical: True
Iteration 14/10000, Best C_max: 2482, Current Iteration Best: 2545, counter: 5, critical: True
Iteration 15/10000, Best C_max: 2482, Current Iteration Best: 2736, counter: 6, critical: True
Iteration 16/10000, Best C_max: 2482, Current Iteration Best: 2532, counter: 7, critical: True
Iteration 17/10000, Best C_max: 2482, Current Iteration Best: 2731, counter: 8, critical: True
Iteration 18/10000, Best C_max: 2482, Current Iteration Best: 2562, counter: 9, critical: True
Iteration 19/10000, Best C_max: 2482, Current Iteration Best: 2664, counter: 10, critical: True
Iteration 20/10000, Best C_max: 2482, Current Iteration Best: 2510, counter: 1, critical: False
Iteration 21/10000, Best C_max: 2482, Current Iteration Best: 3206, counter: 2, critical: False
Iteration 22/10000, Best C_max: 2482, Current Iteration Best: 3148, counter: 3, critical: False
Iteration 23/10000, Best C_max: 2482, Current Iteration Best: 3340, counter: 4, critical: False
Iteration 24/10000, Best C_max: 2482, Current Iteration Best: 3206, counter: 5, critical: False
Iteration 25/10000, Best C_max: 2482, Current Iteration Best: 3321, counter: 6, critical: False
Iteration 26/10000, Best C_max: 2482, Current Iteration Best: 2956, counter: 7, critical: False
Iteration 27/10000, Best C_max: 2482, Current Iteration Best: 3004, counter: 8, critical: False
Iteration 28/10000, Best C_max: 2482, Current Iteration Best: 2919, counter: 9, critical: False
Iteration 29/10000, Best C_max: 2482, Current Iteration Best: 3089, counter: 10, critical: False
Iteration 30/10000, Best C_max: 2482, Current Iteration Best: 3043, counter: 1, critical: True
Iteration 31/10000, Best C_max: 2482, Current Iteration Best: 3222, counter: 2, critical: True
Iteration 32/10000, Best C_max: 2482, Current Iteration Best: 3133, counter: 3, critical: True
Iteration 33/10000, Best C_max: 2482, Current Iteration Best: 3076, counter: 4, critical: True
Iteration 34/10000, Best C_max: 2482, Current Iteration Best: 3065, counter: 5, critical: True
Iteration 35/10000, Best C_max: 2482, Current Iteration Best: 3014, counter: 6, critical: True
Iteration 36/10000, Best C_max: 2482, Current Iteration Best: 2980, counter: 7, critical: True
Iteration 37/10000, Best C_max: 2482, Current Iteration Best: 3022, counter: 8, critical: True
Iteration 38/10000, Best C_max: 2482, Current Iteration Best: 3188, counter: 9, critical: True
Iteration 39/10000, Best C_max: 2482, Current Iteration Best: 3080, counter: 10, critical: True
Iteration 40/10000, Best C_max: 2482, Current Iteration Best: 3184, counter: 1, critical: False
Iteration 41/10000, Best C_max: 2482, Current Iteration Best: 3260, counter: 2, critical: False
Iteration 42/10000, Best C_max: 2482, Current Iteration Best: 3287, counter: 3, critical: False
Iteration 43/10000, Best C_max: 2482, Current Iteration Best: 3382, counter: 4, critical: False
Iteration 44/10000, Best C_max: 2482, Current Iteration Best: 3322, counter: 5, critical: False
Iteration 45/10000, Best C_max: 2482, Current Iteration Best: 3358, counter: 6, critical: False
Iteration 46/10000, Best C_max: 2482, Current Iteration Best: 3322, counter: 7, critical: False
Iteration 47/10000, Best C_max: 2482, Current Iteration Best: 3315, counter: 8, critical: False
Iteration 48/10000, Best C_max: 2482, Current Iteration Best: 3231, counter: 9, critical: False
